Valledupar Alfonso López Pumarejo Airport,VUP
Camilo Daza International Airport (Cúcuta),CUC
Barranquilla Ernesto Cortissoz International Airport,BAQ
Ernesto Cortissoz International Airport (Barranquilla),BAQ
Alfonso Bonilla Aragón International Airport (Cali),CLO
El Edén International Airport (Armenia),AXM
Perales Airport (Ibagué),IBE
Simón Bolívar International Airport (Santa Marta),SMR
Astrakhan Narimanovo Airport,ASF
Nalchik Airport,NAL
Barnaul Airport,BAX
Kadala Airport (Chita),HTA
Irkutsk International Airport,IKT
Yemelyanovo International Airport (Krasnoyarsk),KJA
Pashkovsky International Airport (Krasnodar),KRR
Kurumoch International Airport (Samara),KUF
Koltsovo Airport (Yekaterinburg),SVX
Uytash Airport (Makhachkala),MCX
Vladikavkaz Beslan Airport,OGZ
Mineralnye Vody Airport,MRV
Beslan Airport,OGZ
Stavropol Shpakovskoye International Airport,STW
Strigino International Airport (Nizhny Novgorod),GOJ
Bogashevo Airport (Tomsk),TOF
Vladivostok International Airport,VVO
Yuzhno-Sakhalinsk Airport,UUS
Knevichi Airport (Vladivostok),VVO
Ignatyevo Airport (Blagoveshchensk),BQS
Baikal International Airport (Irkutsk),IKT
Tolmachevo Airport (Novosibirsk),OVB
Krasnoyarsk International Airport,KJA
Pulkovo Airport (Saint Petersburg),LED
Kazan International Airport,KZN
Roshchino International Airport (Tyumen),TJM
Balandino Airport (Chelyabinsk),CEK
Ufa International Airport,UFA
Kurumoch International Airport (Samara),KUF
Domodedovo International Airport (Moscow),DME
Sheremetyevo International Airport (Moscow),SVO
Vnukovo International Airport (Moscow),VKO
Yekaterinburg Koltsovo International Airport,SVX
Tolmachevo Airport (Novosibirsk),OVB
Koltsovo Airport (Yekaterinburg),SVX
Federation Council Building Heliport (Moscow),MOW
Cheremshanka Airport (Novosibirsk),UNW
Murmansk Airport,MMK
Grozny Airport,GRV
Sochi International Airport,AER
Bolshoye Savino Airport (Perm),PEE
Rostov-on-Don Airport,ROV
Volgograd International Airport,VOG
Khrabrovo Airport (Kaliningrad),KGD
Kazan International Airport,KZN
Surgut International Airport,SGC
Samara Kurumoch International Airport,KUF
Koltsovo Airport (Yekaterinburg),SVX
Begishevo Airport (Nizhnekamsk),NBC
Chelyabinsk Airport,CEK
Kaluga Grabtsevo Airport,KLF
Pashkovsky International Airport (Krasnodar),KRR
Makhachkala Uytash Airport,MCX
Volgograd International Airport,VOG
Vnukovo International Airport (Moscow),VKO
Sheremetyevo International Airport (Moscow),SVO
Domodedovo International Airport (Moscow),DME
Abakan International Airport,ABA
Uytash Airport (Makhachkala),MCX
Nalchik Airport,NAL
Yakutsk Airport,YKS
Chita Kadala Airport,HTA
Ignatyevo Airport (Blagoveshchensk),BQS
Petropavlovsk-Kamchatsky Airport (Yelizovo),PKC
Yuzhno-Sakhalinsk Airport,UUS
Knevichi Airport (Vladivostok),VVO
Siberian Region Airport (Barnaul),BAX
Kemerovo International Airport,KEJ
Kemerovo International Airport,KEJ
Barnaul Airport,BAX
Beloyarsk Airport,EYK
Bogashevo Airport (Tomsk),TOF
Strigino International Airport (Nizhny Novgorod),GOJ
Kurumoch International Airport (Samara),KUF
Grozny Airport,GRV
Makhachkala Uytash Airport,MCX
Sheremetyevo International Airport (Moscow),SVO
Domodedovo International Airport (Moscow),DME
Vnukovo International Airport (Moscow),VKO
Mineralnye Vody Airport
